"","time","lat","lon","address","site_number","no2","o3","pm25","source","year","month","day","pm_diff"
"133","2021-11-24",32.4871,-97.04825,"Worth Court",99159,NA,NA,8.5775,"PurpleAir",2021,11,24,3.047
"134","2021-11-25",32.4871,-97.04825,"Worth Court",99159,NA,NA,5.973,"PurpleAir",2021,11,25,-2.6045
"135","2021-11-26",32.4871,-97.04825,"Worth Court",99159,NA,NA,8.8255,"PurpleAir",2021,11,26,2.8525
"136","2021-11-27",32.4871,-97.04825,"Worth Court",99159,NA,NA,7.972,"PurpleAir",2021,11,27,-0.853500000000001
"137","2021-11-28",32.4871,-97.04825,"Worth Court",99159,NA,NA,8.739,"PurpleAir",2021,11,28,0.767000000000002
"138","2021-11-29",32.4871,-97.04825,"Worth Court",99159,NA,NA,7.7165,"PurpleAir",2021,11,29,-1.0225
"139","2021-11-30",32.4871,-97.04825,"Worth Court",99159,NA,NA,3.2525,"PurpleAir",2021,11,30,-4.464
"140","2021-12-01",32.4871,-97.04825,"Worth Court",99159,NA,NA,9.7445,"PurpleAir",2021,12,1,6.492
"141","2021-12-02",32.4871,-97.04825,"Worth Court",99159,NA,NA,18.7605,"PurpleAir",2021,12,2,9.016
"142","2021-12-03",32.4871,-97.04825,"Worth Court",99159,NA,NA,19.2065,"PurpleAir",2021,12,3,0.445999999999998
"143","2021-12-04",32.4871,-97.04825,"Worth Court",99159,NA,NA,15.944,"PurpleAir",2021,12,4,-3.2625
"144","2021-12-05",32.4871,-97.04825,"Worth Court",99159,NA,NA,11.746,"PurpleAir",2021,12,5,-4.198
"145","2021-12-06",32.4871,-97.04825,"Worth Court",99159,NA,NA,4.264,"PurpleAir",2021,12,6,-7.482
"146","2021-12-07",32.4871,-97.04825,"Worth Court",99159,NA,NA,3.19,"PurpleAir",2021,12,7,-1.074
"147","2021-12-08",32.4871,-97.04825,"Worth Court",99159,NA,NA,21.9615,"PurpleAir",2021,12,8,18.7715
"148","2021-12-09",32.4871,-97.04825,"Worth Court",99159,NA,NA,25.135,"PurpleAir",2021,12,9,3.1735
"149","2021-12-10",32.4871,-97.04825,"Worth Court",99159,NA,NA,32.748,"PurpleAir",2021,12,10,7.613
"150","2021-12-11",32.4871,-97.04825,"Worth Court",99159,NA,NA,5.8805,"PurpleAir",2021,12,11,-26.8675
"151","2021-12-12",32.4871,-97.04825,"Worth Court",99159,NA,NA,10.1185,"PurpleAir",2021,12,12,4.238
"152","2021-12-13",32.4871,-97.04825,"Worth Court",99159,NA,NA,5.191,"PurpleAir",2021,12,13,-4.9275
"153","2021-12-14",32.4871,-97.04825,"Worth Court",99159,NA,NA,16.624,"PurpleAir",2021,12,14,11.433
"154","2021-12-15",32.4871,-97.04825,"Worth Court",99159,NA,NA,10.09,"PurpleAir",2021,12,15,-6.534
"155","2021-12-16",32.4871,-97.04825,"Worth Court",99159,NA,NA,13.149,"PurpleAir",2021,12,16,3.059
"156","2021-12-17",32.4871,-97.04825,"Worth Court",99159,NA,NA,54.618,"PurpleAir",2021,12,17,41.469
"157","2021-12-18",32.4871,-97.04825,"Worth Court",99159,NA,NA,9.5695,"PurpleAir",2021,12,18,-45.0485
"158","2021-12-19",32.4871,-97.04825,"Worth Court",99159,NA,NA,10.537,"PurpleAir",2021,12,19,0.967500000000001
"159","2021-12-20",32.4871,-97.04825,"Worth Court",99159,NA,NA,18.2185,"PurpleAir",2021,12,20,7.6815
"160","2021-12-21",32.4871,-97.04825,"Worth Court",99159,NA,NA,31.063,"PurpleAir",2021,12,21,12.8445
"161","2021-12-22",32.4871,-97.04825,"Worth Court",99159,NA,NA,15.6485,"PurpleAir",2021,12,22,-15.4145
"162","2021-12-23",32.4871,-97.04825,"Worth Court",99159,NA,NA,13.7985,"PurpleAir",2021,12,23,-1.85
"163","2021-12-24",32.4871,-97.04825,"Worth Court",99159,NA,NA,10.603,"PurpleAir",2021,12,24,-3.1955
