,time,lat,lon,address,site_number,no2,o3,pm25,source,year,month,day,pm_diff,Notes
141,02/01/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,6.584,PurpleAir,2023,2,1,-1.0505,
72,06/06/2022,29.87164,-95.304085,AAH Little York,99151,NA,NA,6.506,PurpleAir,2022,6,6,-15.6675,
30,04/23/2022,29.87164,-95.304085,AAH Little York,99151,NA,NA,6.4595,PurpleAir,2022,4,23,-3.07,
288,06/28/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,6.445,PurpleAir,2023,6,28,-0.6535,
7,03/29/2022,29.87164,-95.304085,AAH Little York,99151,NA,NA,6.4235,PurpleAir,2022,3,29,0.561,
311,08/05/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,6.4205,PurpleAir,2023,8,5,1.99,
215,04/16/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,6.393,PurpleAir,2023,4,16,-7.237,
97,07/01/2022,29.87164,-95.304085,AAH Little York,99151,NA,NA,6.327,PurpleAir,2022,7,1,-6.392,
317,08/11/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,6.2645,PurpleAir,2023,8,11,-5.9555,
205,04/06/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,6.229,PurpleAir,2023,4,6,-11.8825,
33,04/26/2022,29.87164,-95.304085,AAH Little York,99151,NA,NA,6.204,PurpleAir,2022,4,26,-2.39,
68,06/02/2022,29.87164,-95.304085,AAH Little York,99151,NA,NA,6.1765,PurpleAir,2022,6,2,2.9015,
85,06/19/2022,29.87164,-95.304085,AAH Little York,99151,NA,NA,6.159,PurpleAir,2022,6,19,-2.989,
285,06/25/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,6.037,PurpleAir,2023,6,25,-1.281,
221,04/22/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,6.0135,PurpleAir,2023,4,22,0.7325,
130,01/21/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,5.988,PurpleAir,2023,1,21,-10.113,
36,04/29/2022,29.87164,-95.304085,AAH Little York,99151,NA,NA,5.9605,PurpleAir,2022,4,29,-5.203,
15,04/08/2022,29.87164,-95.304085,AAH Little York,99151,NA,NA,5.9175,PurpleAir,2022,4,8,5.0685,
2,03/24/2022,29.87164,-95.304085,AAH Little York,99151,NA,NA,5.917,PurpleAir,2022,3,24,5.7,
329,08/23/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,5.9135,PurpleAir,2023,8,23,1.3935,
6,03/28/2022,29.87164,-95.304085,AAH Little York,99151,NA,NA,5.8625,PurpleAir,2022,3,28,2.995,
102,07/06/2022,29.87164,-95.304085,AAH Little York,99151,NA,NA,5.7975,PurpleAir,2022,7,6,-5.6005,
121,01/12/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,5.7515,PurpleAir,2023,1,12,-3.934,
73,06/07/2022,29.87164,-95.304085,AAH Little York,99151,NA,NA,5.7235,PurpleAir,2022,6,7,-0.7825,
298,07/08/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,5.6125,PurpleAir,2023,7,8,-2.3345,
324,08/18/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,5.571,PurpleAir,2023,8,18,-6.711,
344,09/07/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,5.559,PurpleAir,2023,9,7,-2.0705,
322,08/16/2023,29.87164,-95.304085,AAH Little York,99151,NA,NA,5.5495,PurpleAir,2023,8,16,-2.362,
65,05/30/2022,29.87164,-95.304085,AAH Little York,99151,NA,NA,5.535,PurpleAir,2022,5,30,-2.658,
