,time,lat,lon,address,site_number,no2,o3,pm25,source,year,month,day,pm_diff,Note
162,09/03/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,4.4965,PurpleAir,2021,9,3,-4.1105,
163,09/04/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,6.355,PurpleAir,2021,9,4,1.8585,
164,09/05/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,4.9235,PurpleAir,2021,9,5,-1.4315,
165,09/06/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,5.594,PurpleAir,2021,9,6,0.6705,
166,09/07/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,5.9465,PurpleAir,2021,9,7,0.3525,
167,09/08/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,8.131,PurpleAir,2021,9,8,2.1845,
168,09/09/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,9.0575,PurpleAir,2021,9,9,0.9265,
169,09/10/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,8.946,PurpleAir,2021,9,10,-0.1115,
170,09/11/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,5.852,PurpleAir,2021,9,11,-3.094,
171,09/12/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,5.061,PurpleAir,2021,9,12,-0.791,
172,09/13/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,3.3575,PurpleAir,2021,9,13,-1.7035,
173,09/14/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,2.286,PurpleAir,2021,9,14,-1.0715,
174,09/15/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,1.9415,PurpleAir,2021,9,15,-0.3445,
175,09/16/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,2.787,PurpleAir,2021,9,16,0.8455,
176,09/17/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,3.9725,PurpleAir,2021,9,17,1.1855,
177,09/18/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,4.892,PurpleAir,2021,9,18,0.9195,
178,09/19/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,5.2965,PurpleAir,2021,9,19,0.4045,
179,09/20/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,6.124,PurpleAir,2021,9,20,0.8275,
180,09/21/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,12.0075,PurpleAir,2021,9,21,5.8835,
181,09/22/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,1.6185,PurpleAir,2021,9,22,-10.389,
182,09/23/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,1.3435,PurpleAir,2021,9,23,-0.275,
183,09/24/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,2.924,PurpleAir,2021,9,24,1.5805,
184,09/25/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,3.48,PurpleAir,2021,9,25,0.556,
